Region,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Belgorod Oblast,Wine,278.27,1.79,0.2
Bryansk Oblast,Wine,368.22,3.02,0.33
Vladimir Oblast,Wine,518.43,3.7,0.41
Voronezh Oblast,Wine,628.77,2.68,0.3
Ivanovo Oblast,Wine,339.89,3.42,0.38
Kaluga Oblast,Wine,416.37,3.98,0.44
Kostroma Oblast,Wine,213.94,3.43,0.38
Kursk Oblast,Wine,242.2,2.16,0.24
Lipetsk Oblast,Wine,303.06,2.59,0.29
Moscow Oblast,Wine,4628.87,5.82,0.64
Oryol Oblast,Wine,195.32,2.6,0.29
Ryazan Oblast,Wine,359.48,3.17,0.35
Smolensk Oblast,Wine,341,3.63,0.4
Tambov Oblast,Wine,205.9,1.98,0.22
Tver Oblast,Wine,543.54,4.2,0.46
Tula Oblast,Wine,507.59,3.31,0.36
Yaroslavl Oblast,Wine,612.82,4.87,0.54
Moscow,Wine,6673.28,5.35,0.59
Republic of Karelia,Wine,397.94,6.79,0.75
Komi Republic,Wine,405.19,4.99,0.55
Nenets Autonomous Okrug,Wine,35.81,8.47,0.93
Vologda Oblast,Wine,539.14,4.56,0.5
Kaliningrad Oblast,Wine,476.12,4.82,0.53
Leningrad Oblast,Wine,1087.46,5.9,0.65
Murmansk Oblast,Wine,385.19,5.32,0.59
Novgorod Oblast,Wine,274.01,4.49,0.49
Pskov Oblast,Wine,261.36,4.13,0.45
Saint Petersburg,Wine,3602.17,6.66,0.73
Arkhangelsk Oblast,Wine,532.25,4.98,0.55
Adygea,Wine,132.91,2.83,0.31
Kalmykia,Wine,25.98,0.94,0.1
Republic of Crimea,Wine,752.25,3.91,0.43
Krasnodar Krai,Wine,2194.79,3.88,0.43
Astrakhan Oblast,Wine,202.52,2.02,0.22
Volgograd Oblast,Wine,586.03,2.29,0.25
Rostov Oblast,Wine,862.82,2.03,0.22
Sevastopol,Wine,246.82,5.38,0.59
Dagestan,Wine,67.85,0.22,0.02
Ingushetia,Wine,0.75,0.02,0
Kabardino-Balkaria,Wine,31.72,0.36,0.04
Karachay-Cherkessia,Wine,30.35,0.65,0.07
North Ossetia-Alania,Wine,25.04,0.36,0.04
Chechnya,Wine,1.97,0.01,0
Stavropol Krai,Wine,514.21,1.79,0.2
Bashkortostan,Wine,874.2,2.12,0.23
Mari El,Wine,167.66,2.44,0.27
